,index,Gene_name,MIM_id,MIM_phenotype_id,MIM_disease,Orphanet_disorder,Orphanet_association_type,Trait_association(GWAS),Interactions(ConsensusPathDB)_rankscore,gnomAD_pLI_rankscore,GDI_rankscore,LoFtool_score_rankscore
1600,10919,HGF,142409,608265;,"[MIM:608265]Deafness, autosomal recessive, 39 [recessive?];",Autosomal recessive non-syndromic sensorineural deafness type DFNB,Disease-causing germline mutation(s) in,Rosacea symptom severity[29771307];Tuberculosis[29036319];Gestational age at birth (maternal effect)[28598419];Gout[22179738];Endothelial growth factor levels[25552591];Hepatocyte growth factor levels[27989323];Blood protein levels[29875488;30072576];Spontaneous preterm birth (maternal effect)[28598419];Intraocular pressure[29235454;29785010];,0.5226993865030675,0.9484270242392986,0.5283215870529888,0.7412523020257827
1601,10923,HGSNAT,610453,252930;616544;,[MIM:252930]Mucopolysaccharidosis 3C [recessive?];[MIM:616544]Retinitis pigmentosa 73;,Retinitis pigmentosa;Sanfilippo syndrome type C,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) (loss of function) in,,0.038773006134969326,0.2627643115007736,0.435917515009136,0.45104358502148556
1602,10924,HHAT,605743,,,Chondrodysplasia-disorder of sex development syndrome,Disease-causing germline mutation(s) (loss of function) in,Cardiovascular disease in hypertension (ACE inhibitor interaction)[26516778];Post bronchodilator percent predicted FEV1 in smoking[30068317];Mosquito bite size[28199695];Body mass index (change over time) in lung cancer or chronic obstructive pulmonary disease[28044437];Body mass index (change over time) in chronic obstructive pulmonary disease[28044437];Heel bone mineral density[28869591;28869591];Schizophrenia[23142968];Post bronchodilator FEV1/FVC ratio in smoking[30068317];Ankylosing spondylitis[23749187;23749187];Alopecia areata[25608926];,0.08736196319018405,0.16812790097988653,0.12372748629600626,0.03683241252302026
1603,10936,HIBCH,610690,250620;,,Neurodegeneration due to 3-hydroxyisobutyryl-CoA hydrolase deficiency,Disease-causing germline mutation(s) in,Urinary metabolites[26352407];Daytime sleep phenotypes[27126917];Blood protein levels[30072576];,0.7533742331288343,0.16425992779783394,0.13651788044896893,0.04251074278698588
1604,10937,HIC1,603825,,,Miller-Dieker syndrome,Candidate gene tested in,Plateletcrit[27863252];Platelet count[27863252];,0.3856441717791411,0.6923671995874162,0.4659357870007831,0.0
1605,10970,HIKESHI,614908,616881;,"[MIM:616881]Leukodystrophy, hypomyelinating, 13 [recessive?];",C11ORF73-related autosomal recessive hypomyelinating leukodystrophy,Disease-causing germline mutation(s) in,Cognitive performance[19734545];,0.23865030674846627,0.6376998452810727,0.0,0.0
1606,10974,HINT1,601314,137200;,,Autosomal recessive axonal neuropathy with neuromyotonia,Disease-causing germline mutation(s) (loss of function) in,Inflammatory bowel disease[28067908];Crohn's disease[28067908];Blood protein levels[29875488];Ulcerative colitis[28067908];,0.7061349693251534,0.6859205776173285,0.9611067606369095,0.3011049723756906
1607,10987,HIRA,600237,,,22q11.2 deletion syndrome,Role in the phenotype of,Cognitive decline rate in late mild cognitive impairment[26252872;26252872];,0.8058895705521473,0.9791129448169159,0.8026624902114331,0.9559545733578882
1608,11081,HIVEP2,143054,616977;,"[MIM:616977]Mental retardation, autosomal dominant 43 [dominant?];",Autosomal dominant non-syndromic intellectual disability,Disease-causing germline mutation(s) (loss of function) in,Adiponectin levels[24105470];Pit-and-Fissure caries[24556642];Daytime sleep phenotypes[27126917];Coronary artery disease[29212778];,0.5026993865030674,1.0,0.3834507961367789,0.9551872314303254
1609,11084,HJV,608374,602390;,[MIM:602390]Hemochromatosis 2A;,Hemochromatosis type 2,Disease-causing germline mutation(s) (loss of function) in,,0.17791411042944785,0.4357916451779268,0.0,0.0
1610,11085,HK1,142600,235700;605285;617460;,"[MIM:235700]Hexokinase deficiency [recessive?];[MIM:605285]Neuropathy, hereditary motor and sensory, Russe type [recessive?];[MIM:617460]Retinitis pigmentosa 79 [dominant?];",Non-spherocytic hemolytic anemia due to hexokinase deficiency;Charcot-Marie-Tooth disease type 4G,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,Glycemic traits (pregnancy)[23903356];Mean corpuscular hemoglobin[20139978;27863252];Mean corpuscular volume[20139978;27863252];High light scatter reticulocyte percentage of red cells[27863252];Reticulocyte count[27863252];Glycated hemoglobin levels[20858683;19096518;28898252;28898252];Hematocrit[19862010;27863252];High light scatter reticulocyte count[27863252];Red blood cell count[20139978;27863252];Red cell distribution width[27863252];Hemoglobin A1c levels[29844224];Hemoglobin concentration[27863252];Immature fraction of reticulocytes[27863252];Reticulocyte fraction of red cells[27863252];Red blood cell traits[23222517];Iris color (a* coordinate)[29109912];Ischemic stroke (cardioembolic)[29531354];Hemoglobin levels[28017375];Hemoglobin[19862010];Iris color (b* coordinate)[29109912];,0.8819631901840491,0.7877772047447138,0.4283476898981989,0.8747697974217311
1611,11091,HLA-A,142800,,,Birdshot chorioretinopathy;Phenytoin or carbamazepine toxicity,Major susceptibility factor in;Biomarker tested in,Hematocrit[27863252];Drug-induced liver injury (amoxicillin-clavulanate)[21570397];Plateletcrit[27863252];High light scatter reticulocyte count[27863252];Plantar warts[28928442];Menarche (age at onset)[25231870];Lung adenocarcinoma[28604730];Hemoglobin concentration[27863252];C-peptide levels in type I diabetes[29404672];Nasopharyngeal carcinoma[19664746;20512145];Change in intraocular pressure in response to steroid treatment (triamcinolone acetonide)[25813999];Childhood ear infection[28928442];Beta-2 microglubulin plasma levels[23417110;23417110;23417110;23417110];Vitiligo[20410501;27723757];IgA nephropathy[22197929];Systemic lupus erythematosus[26606652;28714469;28714469];Adverse response to carbamapezine[21149285];Shingles[28928442;28928442;28928442];Mumps[28928442;28928442];Complement C3 and C4 levels[23028341];Cold sores[28928442];Setpoint viral load in HIV-1 infection[26553974];HIV-1 control[20041166];Autism spectrum disorder or schizophrenia[28540026;28540026;28540026;28540026;28540026;28540026;28540026;28540026;28540026;28540026;28540026;28540026;28540026;28540026;28540026;28540026;28540026;28540026];Lung cancer in ever smokers[28604730];Chickenpox[28928442];Heel bone mineral density[28869591;28869591];Hand grip strength[29691431];Crohn's disease[22412388];Red blood cell count[27863252];Blood protein levels[29875488];IgE levels[22075330];Squamous cell lung carcinoma[28604730];Carbamazepine-induced maculopapular exanthema[29288229];Late-onset myasthenia gravis[26562150];,0.9936196319018404,0.4107787519339866,0.0005220569042025581,0.050030693677102514
1612,11092,HLA-B,142830,608579;,,Beh�et disease;Takayasu arteritis;Pulmonary arterial hypertension associated with connective tissue disease;Flucloxacilline toxicity;Abacavir toxicity;Allopurinol toxicity;Phenytoin or carbamazepine toxicity;Stevens-Johnson syndrome,Major susceptibility factor in;Major susceptibility factor in;Major susceptibility factor in;Biomarker tested in;Biomarker tested in;Biomarker tested in;Biomarker tested in;Major susceptibility factor in,"Type 2 diabetes[25102180;25102180];Multiple sclerosis[22190364;19525953];Sarcoidosis (Lofgren's syndrome vs non-Lofgren's syndrome)[26651848];Mean corpuscular hemoglobin[27863252];Graves' disease[21841780];HIV-1 viral setpoint[20205591;26039976];Plateletcrit[27863252];Eosinophil counts[29403010];Nevirapine-induced hypersensitivity in HIV[28062682];Nasopharyngeal carcinoma[20512145];Change in intraocular pressure in response to steroid treatment (triamcinolone acetonide)[25813999];Beta-2 microglubulin plasma levels[23417110;23417110;23417110;23417110;23417110];Psoriasis vulgaris[26626624];Systemic lupus erythematosus[26606652;28714469;28714469;28714469;28714469;28714469];IgA nephropathy[26028593];Atopic dermatitis[25574825];Cardiometabolic and hematological traits[27668658];Epstein-Barr virus immune response (EBNA-1)[23326239];Ankylosing spondylitis[21743469];Systolic blood pressure[25249183];HIV-1 control[21051598;21051598;21051598;20041166;20041166];Lung cancer in ever smokers[28604730];Diastolic blood pressure[25249183];Monocyte percentage of white cells[27863252];Blood protein levels[28240269;28240269;28240269;28240269;28240269;29875488;29875488];Hypothyroidism[22493691];Albumin-globulin ratio[29403010];Rheumatoid arthritis (ACPA-negative)[24532677];Psoriatic arthritis[26626624];Inflammatory bowel disease[28067908];Tuberculosis[28928442];Anti-thyroid drug induced agranulocytosis[27157822];Tonsillectomy[28928442;28928442;28928442];Drug-induced liver injury (flucloxacillin)[19483685];Myositis[26291516;26291516];Monocyte count[29403010];Takayasu arteritis[25604533;25604533;25604533];Non-albumin protein levels[29403010];Cervical cancer[23482656;28806749];Pneumonia[28928442];Basal cell carcinoma[27539887];Sulfasalazine-induced agranulocytosis[28762467];Trichloroethylene-induced hypersensitivity syndrome[26190474;26190474];Marginal zone lymphoma[25569183];Plantar warts[28928442;28928442];Itch intensity from mosquito bite[28199695];Neuromyelitis optica[29769526;29769526];Neutrophil count[29403010];Mean platelet volume[27863252];Vitiligo[20526339];Strep throat[28928442;28928442];CD4:CD8 lymphocyte ratio[20045101;20045101];Allergic disease (asthma, hay fever or eczema)[29083406;29083406];IgG galactosylation phenotypes (multivariate analysis)[28878392];Allergic rhinitis[30013184];Shingles[25297839;25297839;28928442;28928442;28928442;28928442;28928442];Height[19343178;23563607];Platelet count[22139419;27863252];Cold sores[28928442;28928442];Eosinophil percentage of white cells[27863252];Setpoint viral load in HIV-1 infection[26553974;26553974;26553974;26553974;26553974;26553974;26553974;26553974];Small cell lung carcinoma[28604730];Psoriasis[23143594;23143594];White blood cell count (basophil)[27863252];Autism spectrum disorder or schizophrenia[28540026;28540026;28540026;28540026;28540026;28540026;28540026;28540026;28540026;28540026;28540026;28540026;28540026;28540026;28540026;28540026;28540026;28540026;28540026];Visceral adipose tissue adjusted for BMI[22589738];Chickenpox[28928442;28928442];HIV-1 susceptibility[23935489];Crohn's disease[26891255];Serum albumin level[29403010];White blood cell count[21738480;25096241;25096241;25096241;29403010];Clozapine-induced agranulocytosis[25187353];Diffuse large B cell lymphoma[25261932];Giant cell arteritis[28041642];Allergic sensitization[23817571];Ulcerative colitis[28067908];",0.7467484662576687,0.4703455389375967,0.004176455233620465,0.005371393492940454
1613,11093,HLA-C,142840,,,Precursor B-cell acute lymphoblastic leukemia,Major susceptibility factor in,"Granulocyte percentage of myeloid white cells[27863252];Sarcoidosis (Lofgren's syndrome vs non-Lofgren's syndrome)[26651848];Mean corpuscular hemoglobin[29403010];Lung cancer[28604730];Lymphocyte counts[27863252];Myeloid white cell count[27863252];HIV-1 viral setpoint[26039976];Sum basophil neutrophil counts[27863252];Cutaneous psoriasis[26626624];Granulocyte count[27863252];Nasopharyngeal carcinoma[20512145];Childhood ear infection[27182965;28928442];Beta-2 microglubulin plasma levels[23417110;23417110;23417110;23417110];Psoriasis vulgaris[26626624];Systemic lupus erythematosus[28714469;28714469;28714469;28714469;28714469];Itch intensity from mosquito bite adjusted by bite size[28199695;28199695];Atopic dermatitis[23042114;25574825];Severity of facial solar lentigines[27327535];Self-reported allergy[23817569];Cholesterol, total[26582766];Protein quantitative trait loci[18464913];Chronic hepatitis B infection[25802187;25802187];HIV-1 control[21051598;20041166;20041166];Waist-to-hip ratio adjusted for BMI (adjusted for smoking behaviour)[28443625];Response to hepatitis B vaccine[29534301];Reticulocyte count[27863252];Waist-to-hip ratio adjusted for BMI in non-smokers[28443625];Sum neutrophil eosinophil counts[27863252];Blood protein levels[28240269;28240269;28240269;28240269;28240269;28240269;29875488];Hypothyroidism[22493691];Albumin-globulin ratio[29403010];Psoriatic arthritis[20953186;26626624];Asthma[27182965];Stevens-Johnson syndrome and toxic epidermal necrolysis (SJS-TEN)[21912425];Inflammatory bowel disease[28067908];Rosacea symptom severity[29771307];Perceived unattractiveness to mosquitoes[28199695];Tuberculosis[28928442];Tonsillectomy[27182965;28928442;28928442];C-reactive protein levels or triglyceride levels (pleiotropy)[27286809];Cancer (pleiotropy)[27197191];Myositis[26291516];Monocyte count[29403010];Takayasu arteritis[25604533;25604533];Non-albumin protein levels[29403010];Cervical cancer[28806749];Pneumonia[28928442];Mean corpuscular volume[29403010];Plantar warts[28928442];Neuromyelitis optica[29769526;29769526];Neutrophil count[29403010;27863252];Hemoglobin concentration[27863252];Vitiligo[20526339];IgG galactosylation phenotypes (multivariate analysis)[28878392];Allergic rhinitis[30013184];Shingles[28928442;28928442];Height[23563607;25282103];Complement C3 and C4 levels[23028341];Cold sores[28928442];Setpoint viral load in HIV-1 infection[26553974;26553974;26553974;26553974;26553974;26553974;26553974;26553974];Psoriasis[20953188;20953190;18369459;18369459;18364390;19169254;23143594;23143594];Small cell lung carcinoma[28604730];White blood cell count (basophil)[29403010];Autism spectrum disorder or schizophrenia[28540026;28540026;28540026;28540026;28540026;28540026;28540026;28540026;28540026;28540026;28540026;28540026;28540026;28540026;28540026;28540026;28540026;28540026;28540026;28540026;28540026;28540026];White blood cell count (lymphocyte)[28158719];Chickenpox[28928442;28928442];HIV-1 susceptibility[23935489];Crohn's disease[23128233;26891255];IgE levels[24324648];Coronary heart disease[22319020];Serum albumin level[29403010];AIDS progression[19115949];White blood cell count[21738480;28158719;29403010;27863252;27863252];Waist-to-hip ratio adjusted for BMI (joint analysis main effects and smoking interaction)[28443625];Nevirapine-induced hypersensitivity in HIV (Stevens-Johnson syndrome or toxic epidermal necrosis)[28062682];Squamous cell lung carcinoma[28604730];Chronic obstructive pulmonary disease-related biomarkers[23144326];LDL cholesterol[26582766];Allergic sensitization[23817571];Hepatitis B[24162738];Cancer[27197191];Ulcerative colitis[28067908];",0.8154601226993865,0.3037648272305312,0.0015661707126076742,0.043738489871086556
1614,11098,HLA-DPA1,142880,,,Granulomatosis with polyangiitis,Major susceptibility factor in,"Chronic hepatitis B infection[25802187];Response to hepatitis B vaccine[29534301];Autism spectrum disorder or schizophrenia[28540026];Lung cancer in ever smokers[28604730];Lung cancer[28604730];Mortality in sepsis[27639821];Eosinophil percentage of granulocytes[27863252];Nephropathy[21399633];IgA nephropathy[25305756;25305756;25305756];Allergic disease (asthma, hay fever or eczema)[29083406];Sjögren's syndrome[24097066];Systemic sclerosis[21779181];Myositis[26291516;26291516];Takayasu arteritis[25604533];Antineutrophil cytoplasmic antibody-associated vasculitis[28029757];Hepatitis B (viral clearance)[22737229;22737229];Hepatitis B[21750111];Eosinophil percentage of white cells[27863252];",0.5213496932515338,0.27256317689530685,0.01957713390759593,0.07335788827501534
